image,title,price,brand
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-232-750-01.jpg,G.SKILL TridentZ RGB Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model F4-3000C16D-32GTZR,119,G.SKILL
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-821-162-Z05.jpg,OLOy WarHawk RGB 16GB (2 x 8GB) 288-Pin Intel/AMD Ready DDR4 3200 (PC4 25600) Desktop Memory Model MD4U083216BEDA,61,G.SKILL
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-221-060-V08.jpg,"Patriot Supersonic Rage Elite 128GB USB 3.1, Gen. 1 (USB 3.0) Flash Drive",19,Nero
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-232-155-01.jpg,G.SKILL Ripjaws Series 16GB 260-Pin DDR4 SO-DIMM DDR4 2400 (PC4 19200) Laptop Memory Model F4-2400C16S-16GRS,49,Microsoft
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-232-092-04.jpg,G.SKILL Ripjaws V Series 64GB (4 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16Q-64GVK,229,Team Group
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-111-087-V01.jpg,Nero Platinum 2019,49,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-350-237-Z02.jpg,Windows 10 Home 64-Bit Installation / Recovery Disc Only - No License Key Included,9,Corsair
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-331-049-V04.jpg,"Team Group L5 3D 2.5"" 480GB SATA III 3D NAND Internal Solid State Drive (SSD) T253TD480G3C101",42,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/35-200-128-V08.jpg,"Rosewill PB120-RGB 120mm AIO CPU Liquid Cooler, All-In-One Closed Loop PC Water Cooling, Quiet Addressable RGB Ring Fan, Intel/AMD Compatible, 400mm Sleeved Tubing",39,Western Digital
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-233-853-01.jpg,CORSAIR Vengeance LPX 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4 21300) Memory Kit Model CMK32GX4M2A2666C16,129,Corsair
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/96-268-113-Z01.jpg,"Rosewill Induction Cooker 1800-Watt, 5 Pre-Programmed Induction Cooktop, Electric Burner with Stainless Steel Pot 10"" 3.5 QT 18-8, RHAI-16002",34,YXwin
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/1Z4-0002-00MY7-V01.jpg,WD Red 6TB NAS Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 256MB Cache 3.5 Inch - WD60EFAX,156,Nippon Labs
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-236-417-V01.jpg,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 DRAM DDR4 3200 (PC4 25600) Desktop Memory Model CMW16GX4M2C3200C16,84,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AJUC_131978761680933411QYmYbQynHi.jpg,Refurbished: GoPro Wi-Fi Remote Control,9,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AD5J_1_201704111130499486.jpg,"HDMI to VGA Output, Costech HD 1080p Gold-plated Active TV AV HDTV Video Cable Converter Adapter Plug and Play for HDTVs, Monitors, Displayers, Laptop Desktop Computer (Black)",5,ASRock
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/12-816-167-02.jpg,"Nippon Labs DP-DVI-6 6 ft. DP DisplayPort Male to DVI-D Male Adapter Cable, Black - OEM",11,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/35-200-116-V01.jpg,"Rosewill CPU Liquid Cooler, Closed Loop PC Water Cooling, Quiet 120mm PWM Fan, Intel LGA 2011/2066/1366/1150/1151/1155/1156/775, AMD AM4/AM3+/AM3/AM2+/AM2/AM1/FM2+/FM1 - PB120",34,AMD
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-182-325-V01.jpg,"Rosewill PHOTON Series 1050W Full Modular Gaming Power Supply, 80 PLUS Gold, Single +12V Rail, Intel 4th Gen CPU Ready, SLI & Crossfire Ready - Photon-1050",89,Orico
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/24-025-512-V08.jpg,"LG 27UD58P-B 27"" IPS 4K UHD FreeSync Gaming Monitor, 3840 x 2160, 5ms Response Time, 1000:1 Contrast Ratio, DisplayPort, HDMI, Tilt / Height Adjustable, VESA Compatible",269,MSI
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-157-885-V01.jpg,ASRock X570 STEEL LEGEND AM4 AMD X570 SATA 6Gb/s ATX AMD Motherboard,159,Rosewill
https://c1.neweggimages.com/ProductImageCompressAll300/11-147-153-Z01.jpg,"Rosewill Computer Case - ATX Mid Tower - Black, Gaming - Three Included Fans - Two Extra Side Fans Supported - CHALLENGER",39,Corsair
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-481-V01.jpg,AMD RYZEN 3 2200G Quad-Core 3.5 GHz (3.7 GHz Max Boost) Socket AM4 65W YD2200C5FBBOX Desktop Processor ,84,AMD
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A1DS_132100505615316438xQ7eeIMsVS.jpg,ORICO mSATA SATA III 3D-NAND Internal Solid State Drive (SSD) 128GB/256GB/512GB/1TB,34,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-155-299-V18.jpg,"MSI GL65 9SC-004 Gaming Laptop Intel Core i5-9300H 2.40 GHz 15.6"" Windows 10 Home 64-bit",699,Intel
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/11-147-264-V20.jpg,"Rosewill ATX Mid Tower Gaming PC Computer Case with Red LED Fans, Tempered Glass/Steel, Optimal Airflow, USB 3.0 - CULLINAN MX-RED",59,Corsair
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-139-168-V07.jpg,CORSAIR RM Series RM750 CP-9020195-NA 750W Power Supply,109,G.SKILL
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-498-V01.jpg,AMD RYZEN 7 2700 8-Core 3.2 GHz (4.1 GHz Max Boost) Socket AM4 65W YD2700BBAFBOX Desktop Processor,169,ASRock
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/24-992-197-V07.jpg,"Rosewill RMS-19001 Dual Desk Stand, Supports 15"" - 27"" LCD/LED Display VESA75/100, Tilt +/- 15 degree, Swivel 180 degree, Rotate 360 degree, Max. Load 17.6lbs. per monitor",14,Wavlink
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/56-102-144-07.jpg,Intel NUC (Next Unit of Computing) BOXNUC6I5SYH Mini / Booksize Barebone System,249,ASRock
